Data export from TecQuipment CE2000

Data series 1

    Time       T1       T2 heater input 
    36.70    2.650    2.520    1.000
    36.76    2.650    2.520    1.000
    36.83    2.650    2.520    1.000
    36.89    2.650    2.520    1.000
    36.96    2.650    2.520    1.000
    37.03    2.650    2.520    1.000
    37.09    2.650    2.520    1.000
    37.16    2.650    2.520    1.000
    37.22    2.655    2.520    1.000
    37.29    2.650    2.520    1.000
    37.36    2.655    2.520    1.000
    37.42    2.655    2.520    1.000
    37.49    2.655    2.520    1.000
    37.55    2.655    2.520    1.000
    37.62    2.655    2.520    1.000
    37.69    2.655    2.520    1.000
    37.75    2.655    2.520    1.000
    37.82    2.655    2.520    1.000
    37.88    2.655    2.520    1.000
    37.95    2.655    2.520    1.000
    38.02    2.655    2.520    1.000
    38.08    2.655    2.520    1.000
    38.15    2.655    2.520    1.000
    38.21    2.655    2.520    1.000
    38.28    2.655    2.520    1.000
    38.35    2.655    2.520    1.000
    38.41    2.655    2.520    1.000
    38.48    2.655    2.520    1.000
    38.54    2.655    2.520    1.000
    38.61    2.660    2.520    1.000
    38.68    2.660    2.520    1.000
    38.74    2.660    2.520    1.000
    38.81    2.660    2.520    1.000
    38.87    2.660    2.520    1.000
    38.94    2.660    2.520    1.000
    39.01    2.660    2.525    1.000
    39.07    2.660    2.520    1.000
    39.14    2.660    2.525    1.000
    39.20    2.660    2.525    1.000
    39.27    2.660    2.520    1.000
    39.34    2.660    2.520    1.000
    39.40    2.660    2.525    1.000
    39.47    2.660    2.520    1.000
    39.53    2.660    2.525    1.000
    39.60    2.660    2.525    1.000
    39.67    2.660    2.525    1.000
    39.73    2.660    2.525    1.000
    39.80    2.660    2.525    1.000
    39.86    2.660    2.525    1.000
    39.93    2.665    2.525    1.000
    40.00    2.660    2.525    1.000
    40.06    2.665    2.525    1.000
    40.13    2.665    2.525    1.000
    40.19    2.665    2.525    1.000
    40.26    2.665    2.525    1.000
    40.33    2.665    2.525    1.000
    40.39    2.665    2.525    1.000
    40.46    2.665    2.525    1.000
    40.52    2.665    2.525    1.000
    40.59    2.665    2.525    1.000
    40.66    2.665    2.525    1.000
    40.72    2.665    2.525    1.000
    40.79    2.665    2.525    1.000
    40.85    2.665    2.525    1.000
    40.92    2.665    2.525    1.000
    40.99    2.665    2.525    1.000
    41.05    2.665    2.525    1.000
    41.12    2.670    2.525    1.000
    41.18    2.665    2.525    1.000
    41.25    2.670    2.525    1.000
    41.32    2.670    2.525    1.000
    41.38    2.670    2.525    1.000
    41.45    2.670    2.525    1.000
    41.51    2.670    2.525    1.000
    41.58    2.670    2.530    1.000
    41.65    2.670    2.525    1.000
    41.71    2.670    2.525    1.000
    41.78    2.670    2.530    1.000
    41.84    2.670    2.530    1.000
    41.91    2.670    2.530    1.000
    41.98    2.670    2.530    1.000
    42.04    2.670    2.530    1.000
    42.11    2.670    2.530    1.000
    42.17    2.670    2.530    1.000
    42.24    2.670    2.530    1.000
    42.31    2.670    2.530    1.000
    42.37    2.670    2.530    1.000
    42.44    2.670    2.530    1.000
    42.50    2.670    2.530    1.000
    42.57    2.675    2.530    1.000
    42.64    2.675    2.530    1.000
    42.70    2.675    2.530    1.000
    42.77    2.675    2.530    1.000
    42.83    2.675    2.530    1.000
    42.90    2.675    2.530    1.000
    42.97    2.675    2.530    1.000
    43.03    2.675    2.530    1.000
    43.10    2.675    2.530    1.000
    43.16    2.675    2.530    1.000
    43.23    2.675    2.530    1.000
    43.30    2.675    2.530    1.000
    43.36    2.675    2.530    1.000
    43.43    2.675    2.530    1.000
    43.49    2.675    2.530    1.000
    43.56    2.675    2.530    1.000
    43.63    2.675    2.535    1.000
    43.69    2.675    2.530    1.000
    43.76    2.675    2.530    1.000
    43.82    2.675    2.530    1.000
    43.89    2.675    2.535    1.000
    43.96    2.675    2.530    1.000
    44.02    2.675    2.535    1.000
    44.09    2.680    2.535    1.000
    44.15    2.680    2.535    1.000
