    Time       T1       T2  shutter Setpoint 
    20.33    3.595    2.755    0.000    4.000
    20.39    3.600    2.760    0.000    4.000
    20.46    3.605    2.760    0.000    4.000
    20.53    3.610    2.760    0.000    4.000
    20.59    3.615    2.760    0.000    4.000
    20.66    3.620    2.760    0.000    4.000
    20.72    3.620    2.765    0.000    4.000
    20.79    3.625    2.765    0.000    4.000
    20.86    3.630    2.765    0.000    4.000
    20.92    3.635    2.765    0.000    4.000
    20.99    3.640    2.770    0.000    4.000
    21.05    3.645    2.770    0.000    4.000
    21.12    3.650    2.770    0.000    4.000
    21.19    3.655    2.770    0.000    4.000
    21.25    3.660    2.775    0.000    4.000
    21.32    3.660    2.775    0.000    4.000
    21.38    3.665    2.775    0.000    4.000
    21.45    3.670    2.775    0.000    4.000
    21.52    3.675    2.775    0.000    4.000
    21.58    3.680    2.780    0.000    4.000
    21.65    3.685    2.780    0.000    4.000
    21.71    3.690    2.780    0.000    4.000
    21.78    3.695    2.780    0.000    4.000
    21.85    3.700    2.785    0.000    4.000
    21.91    3.705    2.785    0.000    4.000
    21.98    3.710    2.785    0.000    4.000
    22.04    3.710    2.785    0.000    4.000
    22.11    3.715    2.785    0.000    4.000
    22.18    3.720    2.790    0.000    4.000
    22.24    3.725    2.790    0.000    4.000
    22.31    3.730    2.790    0.000    4.000
    22.37    3.735    2.790    0.000    4.000
    22.44    3.740    2.795    0.000    4.000
    22.51    3.745    2.795    0.000    4.000
    22.57    3.750    2.795    0.000    4.000
    22.64    3.755    2.795    0.000    4.000
    22.70    3.755    2.800    0.000    4.000
    22.77    3.760    2.800    0.000    4.000
    22.84    3.765    2.800    0.000    4.000
    22.90    3.770    2.800    0.000    4.000
    22.97    3.775    2.805    0.000    4.000
    23.03    3.780    2.805    0.000    4.000
    23.10    3.785    2.805    0.000    4.000
    23.17    3.790    2.805    0.000    4.000
    23.23    3.795    2.810    0.000    4.000
    23.30    3.800    2.810    0.000    4.000
    23.36    3.805    2.810    0.000    4.000
    23.43    3.810    2.810    0.000    4.000
    23.50    3.810    2.815    0.000    4.000
    23.56    3.815    2.815    0.000    4.000
    23.63    3.820    2.815    0.000    4.000
    23.69    3.825    2.815    0.000    4.000
    23.76    3.830    2.820    0.000    4.000
    23.83    3.835    2.820    0.000    4.000
    23.89    3.840    2.820    0.000    4.000
    23.96    3.845    2.820    0.000    4.000
    24.02    3.845    2.825    0.000    4.000
    24.09    3.850    2.825    0.000    4.000
    24.16    3.855    2.825    0.000    4.000
    24.22    3.860    2.825    0.000    4.000
    24.29    3.865    2.830    0.000    4.000
    24.35    3.870    2.830    0.000    4.000
    24.42    3.875    2.830    0.000    4.000
    24.49    3.880    2.830    0.000    4.000
    24.55    3.880    2.835    0.000    4.000
    24.62    3.885    2.835    0.000    4.000
    24.68    3.890    2.835    0.000    4.000
    24.75    3.895    2.840    0.000    4.000
    24.82    3.900    2.840    0.000    4.000
    24.88    3.905    2.840    0.000    4.000
    24.95    3.910    2.840    0.000    4.000
    25.01    3.910    2.845    0.000    4.000
    25.08    3.915    2.845    0.000    4.000
    25.15    3.920    2.845    0.000    4.000
    25.21    3.925    2.845    0.000    4.000
    25.28    3.930    2.850    0.000    4.000
    25.34    3.930    2.850    0.000    4.000
    25.41    3.935    2.850    0.000    4.000
    25.48    3.940    2.855    0.000    4.000
    25.54    3.945    2.855    0.000    4.000
    25.61    3.950    2.855    0.000    4.000
    25.67    3.955    2.855    0.000    4.000
    25.74    3.955    2.860    0.000    4.000
    25.81    3.960    2.860    0.000    4.000
    25.87    3.965    2.860    0.000    4.000
    25.94    3.970    2.865    0.000    4.000
    26.00    3.975    2.865    0.000    4.000
    26.07    3.975    2.865    0.000    4.000
    26.14    3.980    2.870    0.000    4.000
    26.20    3.985    2.870    0.000    4.000
    26.27    3.990    2.870    0.000    4.000
    26.33    3.990    2.870    0.000    4.000
    26.40    3.995    2.875    0.000    4.000
    26.47    4.000    2.875    0.000    4.000
    26.53    4.000    2.875    0.000    4.000
    26.60    4.005    2.875    0.000    4.000
    26.66    4.010    2.880    0.000    4.000
    26.73    4.010    2.880    0.000    4.000
    26.80    4.015    2.880    0.000    4.000
    26.86    4.020    2.885    0.000    4.000
    26.93    4.025    2.885    0.000    4.000
    26.99    4.025    2.885    0.000    4.000
    27.06    4.030    2.890    0.000    4.000
    27.13    4.030    2.890    0.000    4.000
    27.19    4.035    2.890    0.000    4.000
    27.26    4.040    2.895    0.000    4.000
    27.32    4.040    2.895    0.000    4.000
    27.39    4.045    2.895    0.000    4.000
    27.46    4.050    2.895    0.000    4.000
    27.52    4.050    2.900    0.000    4.000
    27.59    4.055    2.900    0.000    4.000
    27.65    4.060    2.900    0.000    4.000
    27.72    4.060    2.905    0.000    4.000
    27.79    4.065    2.905    0.000    4.000
    27.85    4.065    2.905    0.000    4.000
    27.92    4.070    2.910    0.000    4.000
    27.98    4.075    2.910    0.000    4.000
    28.05    4.075    2.910    0.000    4.000
    28.12    4.080    2.910    0.000    4.000
    28.18    4.080    2.915    0.000    4.000
    28.25    4.085    2.915    0.000    4.000
    28.31    4.085    2.920    0.000    4.000
    28.38    4.090    2.920    0.000    4.000
    28.45    4.090    2.920    0.000    4.000
    28.51    4.095    2.920    0.000    4.000
    28.58    4.095    2.925    0.000    4.000
    28.64    4.100    2.925    0.000    4.000
    28.71    4.100    2.925    0.000    4.000
    28.78    4.105    2.930    0.000    4.000
    28.84    4.105    2.930    0.000    4.000
    28.91    4.110    2.930    0.000    4.000
    28.97    4.110    2.935    0.000    4.000
    29.04    4.110    2.935    0.000    4.000
    29.11    4.115    2.935    0.000    4.000
    29.17    4.115    2.940    0.000    4.000
    29.24    4.120    2.940    0.000    4.000
    29.30    4.120    2.940    0.000    4.000
    29.37    4.120    2.945    0.000    4.000
    29.44    4.125    2.945    0.000    4.000
    29.50    4.125    2.945    0.000    4.000
    29.57    4.130    2.950    0.000    4.000
    29.63    4.130    2.950    0.000    4.000
    29.70    4.130    2.950    0.000    4.000
    29.77    4.135    2.955    0.000    4.000
    29.83    4.135    2.955    0.000    4.000
    29.90    4.135    2.955    0.000    4.000
    29.96    4.140    2.960    0.000    4.000
    30.03    4.140    2.960    0.000    4.000
    30.10    4.140    2.960    0.000    4.000
    30.16    4.145    2.965    0.000    4.000
    30.23    4.145    2.965    0.000    4.000
    30.29    4.145    2.965    0.000    4.000
    30.36    4.145    2.970    0.000    4.000
    30.43    4.150    2.970    0.000    4.000
    30.49    4.150    2.970    0.000    4.000
    30.56    4.150    2.975    0.000    4.000
    30.62    4.150    2.975    0.000    4.000
    30.69    4.155    2.975    0.000    4.000
    30.76    4.155    2.975    0.000    4.000
    30.82    4.155    2.980    0.000    4.000
    30.89    4.155    2.980    0.000    4.000
    30.95    4.160    2.980    0.000    4.000
    31.02    4.160    2.985    0.000    4.000
    31.09    4.160    2.985    0.000    4.000
    31.15    4.165    2.985    0.000    4.000
    31.22    4.165    2.990    0.000    4.000
    31.28    4.165    2.990    0.000    4.000
    31.35    4.165    2.990    0.000    4.000
    31.42    4.170    2.995    0.000    4.000
    31.48    4.170    2.995    0.000    4.000
    31.55    4.170    2.995    0.000    4.000
    31.61    4.170    3.000    0.000    4.000
    31.68    4.170    3.000    0.000    4.000
    31.75    4.175    3.000    0.000    4.000
    31.81    4.175    3.005    0.000    4.000
    31.88    4.175    3.005    0.000    4.000
    31.94    4.175    3.005    0.000    4.000
    32.01    4.175    3.010    0.000    4.000
    32.08    4.180    3.010    0.000    4.000
    32.14    4.180    3.010    0.000    4.000
    32.21    4.180    3.015    0.000    4.000
    32.27    4.180    3.015    0.000    4.000
    32.34    4.180    3.015    0.000    4.000
    32.41    4.180    3.020    0.000    4.000
    32.47    4.180    3.020    0.000    4.000
    32.54    4.185    3.020    0.000    4.000
    32.60    4.185    3.025    0.000    4.000
    32.67    4.185    3.025    0.000    4.000
    32.74    4.185    3.025    0.000    4.000
    32.80    4.185    3.030    0.000    4.000
    32.87    4.185    3.030    0.000    4.000
    32.93    4.185    3.030    0.000    4.000
    33.00    4.190    3.035    0.000    4.000
    33.07    4.190    3.035    0.000    4.000
    33.13    4.190    3.035    0.000    4.000
    33.20    4.190    3.040    0.000    4.000
    33.26    4.190    3.040    0.000    4.000
    33.33    4.190    3.040    0.000    4.000
    33.40    4.190    3.040    0.000    4.000
    33.46    4.190    3.045    0.000    4.000
    33.53    4.190    3.045    0.000    4.000
    33.59    4.190    3.045    0.000    4.000
    33.66    4.195    3.050    0.000    4.000
    33.73    4.195    3.050    0.000    4.000
    33.79    4.195    3.050    0.000    4.000
    33.86    4.195    3.055    0.000    4.000
    33.92    4.195    3.055    0.000    4.000
    33.99    4.195    3.055    0.000    4.000
    34.06    4.195    3.060    0.000    4.000
    34.12    4.195    3.060    0.000    4.000
    34.19    4.195    3.060    0.000    4.000
    34.25    4.195    3.065    0.000    4.000
    34.32    4.195    3.065    0.000    4.000
    34.39    4.195    3.065    0.000    4.000
    34.45    4.195    3.070    0.000    4.000
    34.52    4.195    3.070    0.000    4.000
    34.58    4.195    3.070    0.000    4.000
    34.65    4.195    3.075    0.000    4.000
    34.72    4.195    3.075    0.000    4.000
    34.78    4.195    3.075    0.000    4.000
    34.85    4.195    3.075    0.000    4.000
    34.91    4.200    3.080    0.000    4.000
    34.98    4.200    3.080    0.000    4.000
    35.05    4.200    3.080    0.000    4.000
    35.11    4.200    3.085    0.000    4.000
    35.18    4.200    3.085    0.000    4.000
    35.24    4.200    3.085    0.000    4.000
    35.31    4.200    3.090    0.000    4.000
    35.38    4.200    3.090    0.000    4.000
    35.44    4.200    3.095    0.000    4.000
    35.51    4.200    3.095    0.000    4.000
    35.57    4.200    3.095    0.000    4.000
    35.64    4.200    3.095    0.000    4.000
    35.71    4.200    3.100    0.000    4.000
    35.77    4.200    3.100    0.000    4.000
    35.84    4.200    3.100    0.000    4.000
    35.90    4.200    3.105    0.000    4.000
    35.97    4.200    3.105    0.000    4.000
    36.04    4.200    3.105    0.000    4.000
    36.10    4.195    3.105    0.000    4.000
    36.17    4.195    3.110    0.000    4.000
    36.23    4.195    3.110    0.000    4.000
    36.30    4.195    3.110    0.000    4.000
    36.37    4.195    3.115    0.000    4.000
    36.43    4.195    3.115    0.000    4.000
    36.50    4.195    3.115    0.000    4.000
    36.56    4.195    3.120    0.000    4.000
    36.63    4.195    3.120    0.000    4.000
    36.70    4.195    3.120    0.000    4.000
    36.76    4.195    3.125    0.000    4.000
    36.83    4.195    3.125    0.000    4.000
    36.89    4.195    3.125    0.000    4.000
    36.96    4.195    3.130    0.000    4.000
    37.03    4.195    3.130    0.000    4.000
    37.09    4.195    3.130    0.000    4.000
    37.16    4.190    3.130    0.000    4.000
    37.22    4.190    3.135    0.000    4.000
    37.29    4.190    3.135    0.000    4.000
    37.36    4.190    3.135    0.000    4.000
    37.42    4.190    3.135    0.000    4.000
    37.49    4.190    3.140    0.000    4.000
    37.55    4.190    3.140    0.000    4.000
    37.62    4.190    3.140    0.000    4.000
    37.69    4.190    3.145    0.000    4.000
    37.75    4.190    3.145    0.000    4.000
    37.82    4.190    3.145    0.000    4.000
    37.88    4.190    3.150    0.000    4.000
    37.95    4.190    3.150    0.000    4.000
    38.02    4.185    3.150    0.000    4.000
    38.08    4.185    3.150    0.000    4.000
    38.15    4.185    3.155    0.000    4.000
    38.21    4.185    3.155    0.000    4.000
    38.28    4.185    3.155    0.000    4.000
    38.35    4.185    3.160    0.000    4.000
    38.41    4.185    3.160    0.000    4.000
    38.48    4.185    3.160    0.000    4.000
    38.54    4.185    3.160    0.000    4.000
    38.61    4.185    3.165    0.000    4.000
    38.68    4.185    3.165    0.000    4.000
    38.74    4.185    3.165    0.000    4.000
    38.81    4.185    3.170    0.000    4.000
    38.87    4.185    3.170    0.000    4.000
    38.94    4.180    3.170    0.000    4.000
    39.01    4.180    3.170    0.000    4.000
    39.07    4.180    3.175    0.000    4.000
    39.14    4.180    3.175    0.000    4.000
    39.20    4.180    3.175    0.000    4.000
    39.27    4.180    3.180    0.000    4.000
    39.34    4.180    3.180    0.000    4.000
    39.40    4.180    3.180    0.000    4.000
    39.47    4.180    3.185    0.000    4.000
    39.53    4.180    3.185    0.000    4.000
    39.60    4.180    3.185    0.000    4.000
    39.67    4.180    3.185    0.000    4.000
    39.73    4.175    3.190    0.000    4.000
    39.80    4.175    3.190    0.000    4.000
    39.86    4.175    3.190    0.000    4.000
    39.93    4.175    3.190    0.000    4.000
    40.00    4.175    3.195    0.000    4.000
    40.06    4.175    3.195    0.000    4.000
    40.13    4.175    3.195    0.000    4.000
    40.19    4.175    3.200    0.000    4.000
    40.26    4.175    3.200    0.000    4.000
    40.33    4.170    3.200    0.000    4.000
    40.39    4.170    3.200    0.000    4.000
    40.46    4.170    3.205    0.000    4.000
    40.52    4.170    3.205    0.000    4.000
    40.59    4.170    3.205    0.000    4.000
    40.66    4.170    3.210    0.000    4.000
    40.72    4.170    3.210    0.000    4.000
    40.79    4.170    3.210    0.000    4.000
    40.85    4.170    3.210    0.000    4.000
    40.92    4.170    3.215    0.000    4.000
    40.99    4.170    3.215    0.000    4.000
    41.05    4.165    3.215    0.000    4.000
    41.12    4.165    3.215    0.000    4.000
    41.18    4.165    3.220    0.000    4.000
    41.25    4.165    3.220    0.000    4.000
    41.32    4.165    3.220    0.000    4.000
    41.38    4.165    3.220    0.000    4.000
    41.45    4.165    3.225    0.000    4.000
    41.51    4.160    3.225    0.000    4.000
    41.58    4.160    3.225    0.000    4.000
    41.65    4.160    3.230    0.000    4.000
    41.71    4.160    3.230    0.000    4.000
    41.78    4.160    3.230    0.000    4.000
    41.84    4.160    3.230    0.000    4.000
    41.91    4.155    3.235    0.000    4.000
    41.98    4.155    3.235    0.000    4.000
    42.04    4.155    3.235    0.000    4.000
    42.11    4.155    3.235    0.000    4.000
    42.17    4.155    3.240    0.000    4.000
    42.24    4.155    3.240    0.000    4.000
    42.31    4.155    3.240    0.000    4.000
    42.37    4.150    3.240    0.000    4.000
    42.44    4.150    3.240    0.000    4.000
    42.50    4.150    3.245    0.000    4.000
    42.57    4.150    3.245    0.000    4.000
    42.64    4.150    3.245    0.000    4.000
    42.70    4.150    3.245    0.000    4.000
    42.77    4.150    3.250    0.000    4.000
    42.83    4.150    3.250    0.000    4.000
    42.90    4.145    3.250    0.000    4.000
    42.97    4.145    3.250    0.000    4.000
    43.03    4.145    3.255    0.000    4.000
    43.10    4.145    3.255    0.000    4.000
    43.16    4.145    3.255    0.000    4.000
    43.23    4.140    3.260    0.000    4.000
    43.30    4.140    3.260    0.000    4.000
    43.36    4.140    3.260    0.000    4.000
    43.43    4.140    3.260    0.000    4.000
    43.49    4.140    3.265    0.000    4.000
    43.56    4.140    3.265    0.000    4.000
    43.63    4.140    3.265    0.000    4.000
