
Data series 3

    Time       T1       T2  shutter Setpoint 
    36.76    4.595    3.130    0.000    4.000
    36.83    4.600    3.130    0.000    4.000
    36.89    4.605    3.130    0.000    4.000
    36.96    4.610    3.135    0.000    4.000
    37.03    4.610    3.135    0.000    4.000
    37.09    4.615    3.140    0.000    4.000
    37.16    4.620    3.140    0.000    4.000
    37.22    4.620    3.145    0.000    4.000
    37.29    4.625    3.145    0.000    4.000
    37.36    4.630    3.145    0.000    4.000
    37.42    4.635    3.150    0.000    4.000
    37.49    4.640    3.150    0.000    4.000
    37.55    4.645    3.155    0.000    4.000
    37.62    4.645    3.155    0.000    4.000
    37.69    4.650    3.160    0.000    4.000
    37.75    4.655    3.160    0.000    4.000
    37.82    4.660    3.160    0.000    4.000
    37.88    4.660    3.165    0.000    4.000
    37.95    4.665    3.165    0.000    4.000
    38.02    4.670    3.170    0.000    4.000
    38.08    4.675    3.170    0.000    4.000
    38.15    4.675    3.170    0.000    4.000
    38.21    4.680    3.175    0.000    4.000
    38.28    4.685    3.175    0.000    4.000
    38.35    4.685    3.180    0.000    4.000
    38.41    4.690    3.180    0.000    4.000
    38.48    4.695    3.180    0.000    4.000
    38.54    4.700    3.185    0.000    4.000
    38.61    4.700    3.185    0.000    4.000
    38.68    4.705    3.190    0.000    4.000
    38.74    4.710    3.190    0.000    4.000
    38.81    4.715    3.195    0.000    4.000
    38.87    4.715    3.195    0.000    4.000
    38.94    4.720    3.195    0.000    4.000
    39.01    4.725    3.200    0.000    4.000
    39.07    4.725    3.200    0.000    4.000
    39.14    4.730    3.200    0.000    4.000
    39.20    4.735    3.205    0.000    4.000
    39.27    4.740    3.205    0.000    4.000
    39.34    4.740    3.210    0.000    4.000
    39.40    4.745    3.210    0.000    4.000
    39.47    4.750    3.215    0.000    4.000
    39.53    4.755    3.215    0.000    4.000
    39.60    4.755    3.215    0.000    4.000
    39.67    4.760    3.220    0.000    4.000
    39.73    4.760    3.220    0.000    4.000
    39.80    4.765    3.225    0.000    4.000
    39.86    4.765    3.225    0.000    4.000
    39.93    4.770    3.230    0.000    4.000
    40.00    4.775    3.230    0.000    4.000
    40.06    4.775    3.230    0.000    4.000
    40.13    4.780    3.235    0.000    4.000
    40.19    4.780    3.240    0.000    4.000
    40.26    4.785    3.240    0.000    4.000
    40.33    4.790    3.240    0.000    4.000
    40.39    4.790    3.245    0.000    4.000
    40.46    4.790    3.245    0.000    4.000
    40.52    4.795    3.245    0.000    4.000
    40.59    4.800    3.250    0.000    4.000
    40.66    4.800    3.250    0.000    4.000
    40.72    4.805    3.255    0.000    4.000
    40.79    4.805    3.255    0.000    4.000
    40.85    4.810    3.260    0.000    4.000
    40.92    4.810    3.260    0.000    4.000
    40.99    4.815    3.260    0.000    4.000
    41.05    4.815    3.265    0.000    4.000
    41.12    4.820    3.265    0.000    4.000
    41.18    4.820    3.270    0.000    4.000
    41.25    4.825    3.270    0.000    4.000
    41.32    4.825    3.275    0.000    4.000
    41.38    4.830    3.275    0.000    4.000
    41.45    4.830    3.275    0.000    4.000
    41.51    4.835    3.280    0.000    4.000
    41.58    4.835    3.280    0.000    4.000
    41.65    4.835    3.285    0.000    4.000
    41.71    4.835    3.285    0.000    4.000
    41.78    4.840    3.290    0.000    4.000
    41.84    4.840    3.290    0.000    4.000
    41.91    4.845    3.295    0.000    4.000
    41.98    4.845    3.295    0.000    4.000
    42.04    4.845    3.295    0.000    4.000
    42.11    4.850    3.295    0.000    4.000
    42.17    4.850    3.300    0.000    4.000
    42.24    4.850    3.305    0.000    4.000
    42.31    4.855    3.305    0.000    4.000
    42.37    4.855    3.305    0.000    4.000
    42.44    4.855    3.310    0.000    4.000
    42.50    4.855    3.310    0.000    4.000
    42.57    4.860    3.315    0.000    4.000
    42.64    4.860    3.315    0.000    4.000
    42.70    4.860    3.320    0.000    4.000
    42.77    4.860    3.320    0.000    4.000
    42.83    4.865    3.320    0.000    4.000
    42.90    4.865    3.325    0.000    4.000
    42.97    4.865    3.325    0.000    4.000
    43.03    4.865    3.325    0.000    4.000
    43.10    4.865    3.330    0.000    4.000
    43.16    4.870    3.330    0.000    4.000
    43.23    4.870    3.335    0.000    4.000
    43.30    4.870    3.335    0.000    4.000
    43.36    4.870    3.340    0.000    4.000
    43.43    4.870    3.340    0.000    4.000
    43.49    4.875    3.345    0.000    4.000
    43.56    4.875    3.345    0.000    4.000
