Data export from TecQuipment CE2000

Data series 2

    Time       T1  shutter setpoint   PI o/p 
    35.40    4.465    0.000    5.000   88.978
    35.50    4.470    0.000    5.000   88.897
    35.60    4.480    0.000    5.000   88.665
    35.70    4.485    0.000    5.000   88.581
    35.80    4.490    0.000    5.000   88.498
    35.90    4.495    0.000    5.000   88.413
    36.00    4.500    0.000    5.000   88.328
    36.10    4.505    0.000    5.000   88.243
    36.20    4.515    0.000    5.000   88.006
    36.30    4.520    0.000    5.000   87.918
    36.40    4.525    0.000    5.000   87.830
    36.50    4.530    0.000    5.000   87.741
    36.60    4.535    0.000    5.000   87.652
    36.70    4.540    0.000    5.000   87.561
    36.80    4.550    0.000    5.000   87.320
    36.90    4.555    0.000    5.000   87.228
    37.00    4.560    0.000    5.000   87.135
    37.10    4.565    0.000    5.000   87.041
    37.20    4.575    0.000    5.000   86.797
    37.30    4.580    0.000    5.000   86.701
    37.40    4.585    0.000    5.000   86.605
    37.50    4.590    0.000    5.000   86.509
    37.60    4.595    0.000    5.000   86.411
    37.70    4.600    0.000    5.000   86.313
    37.80    4.610    0.000    5.000   86.064
    37.90    4.615    0.000    5.000   85.964
    38.00    4.620    0.000    5.000   85.863
    38.10    4.625    0.000    5.000   85.762
    38.20    4.630    0.000    5.000   85.660
    38.30    4.635    0.000    5.000   85.558
    38.40    4.640    0.000    5.000   85.454
    38.50    4.645    0.000    5.000   85.351
    38.60    4.655    0.000    5.000   85.095
    38.70    4.660    0.000    5.000   84.990
    38.80    4.665    0.000    5.000   84.883
    38.90    4.670    0.000    5.000   84.776
    39.00    4.675    0.000    5.000   84.668
    39.10    4.680    0.000    5.000   84.560
    39.20    4.685    0.000    5.000   84.451
    39.30    4.690    0.000    5.000   84.341
    39.40    4.695    0.000    5.000   84.231
    39.50    4.700    0.000    5.000   84.120
    39.60    4.710    0.000    5.000   83.858
    39.70    4.715    0.000    5.000   83.745
    39.80    4.720    0.000    5.000   83.631
    39.90    4.725    0.000    5.000   83.517
    40.00    4.730    0.000    5.000   83.402
    40.10    4.735    0.000    5.000   83.286
    40.20    4.740    0.000    5.000   83.170
    40.30    4.745    0.000    5.000   83.053
    40.40    4.750    0.000    5.000   82.936
    40.50    4.755    0.000    5.000   82.818
    40.60    4.760    0.000    5.000   82.699
    40.70    4.765    0.000    5.000   82.579
    40.80    4.770    0.000    5.000   82.459
    40.90    4.775    0.000    5.000   82.338
    41.00    4.780    0.000    5.000   82.217
    41.10    4.785    0.000    5.000   82.095
    41.20    4.790    0.000    5.000   81.972
    41.30    4.795    0.000    5.000   81.849
    41.40    4.800    0.000    5.000   81.725
    41.50    4.805    0.000    5.000   81.600
    41.60    4.810    0.000    5.000   81.475
    41.70    4.815    0.000    5.000   81.349
    41.80    4.820    0.000    5.000   81.222
    41.90    4.825    0.000    5.000   81.095
    42.00    4.830    0.000    5.000   80.967
    42.10    4.835    0.000    5.000   80.839
    42.20    4.840    0.000    5.000   80.710
    42.30    4.845    0.000    5.000   80.580
    42.40    4.850    0.000    5.000   80.449
    42.50    4.855    0.000    5.000   80.318
    42.60    4.860    0.000    5.000   80.186
    42.70    4.865    0.000    5.000   80.054
    42.80    4.870    0.000    5.000   79.921
    42.90    4.875    0.000    5.000   79.787
    43.00    4.880    0.000    5.000   79.653
    43.10    4.885    0.000    5.000   79.518
    43.20    4.890    0.000    5.000   79.382
    43.30    4.895    0.000    5.000   79.246
    43.40    4.905    0.000    5.000   78.958
    43.50    4.910    0.000    5.000   78.820
    43.60    4.915    0.000    5.000   78.681
    43.70    4.920    0.000    5.000   78.541
    43.80    4.925    0.000    5.000   78.401
    43.90    4.930    0.000    5.000   78.260
    44.00    4.935    0.000    5.000   78.118
    44.10    4.940    0.000    5.000   77.976
    44.20    4.945    0.000    5.000   77.833
    44.30    4.950    0.000    5.000   77.690
    44.40    4.955    0.000    5.000   77.546
    44.50    4.960    0.000    5.000   77.401
    44.60    4.965    0.000    5.000   77.255
    44.70    4.970    0.000    5.000   77.109
    44.80    4.975    0.000    5.000   76.963
    44.90    4.980    0.000    5.000   76.815
    45.00    4.985    0.000    5.000   76.667
    45.10    4.990    0.000    5.000   76.518
    45.20    4.995    0.000    5.000   76.369
    45.30    5.000    0.000    5.000   76.219
    45.40    5.005    0.000    5.000   76.068
    45.50    5.010    0.000    5.000   75.917
    45.60    5.015    0.000    5.000   75.765
    45.70    5.020    0.000    5.000   75.613
    45.80    5.025    0.000    5.000   75.459
    45.90    5.030    0.000    5.000   75.305
    46.00    5.035    0.000    5.000   75.151
    46.10    5.040    0.000    5.000   74.996
    46.20    5.045    0.000    5.000   74.840
    46.30    5.050    0.000    5.000   74.683
    46.40    5.055    0.000    5.000   74.526
    46.50    5.060    0.000    5.000   74.368
    46.60    5.065    0.000    5.000   74.210
    46.70    5.070    0.000    5.000   74.051
    46.80    5.075    0.000    5.000   73.891
    46.90    5.080    0.000    5.000   73.731
    47.00    5.085    0.000    5.000   73.570
    47.10    5.090    0.000    5.000   73.408
    47.20    5.095    0.000    5.000   73.246
    47.30    5.100    0.000    5.000   73.083
    47.40    5.100    0.000    5.000   73.070
    47.50    5.105    0.000    5.000   72.906
    47.60    5.115    0.000    5.000   72.591
    47.70    5.120    0.000    5.000   72.425
    47.80    5.120    0.000    5.000   72.410
    47.90    5.125    0.000    5.000   72.243
    48.00    5.130    0.000    5.000   72.077
    48.10    5.135    0.000    5.000   71.909
    48.20    5.140    0.000    5.000   71.741
    48.30    5.145    0.000    5.000   71.572
    48.40    5.150    0.000    5.000   71.402
    48.50    5.155    0.000    5.000   71.232
